票所編號,村里,鄉鎮市區
1,建民里 1-7,北投
2,建民里 8-14,北投
3,建民里 15-20,北投
4,文林里 1-7,北投
5,文林里 8-14,北投
6,文林里 15-20,北投
7,石牌里 1-6,北投
8,石牌里 7-9、 11、12,北投
9,石牌里 10、13- 16,北投
10,福興里 1、2、 5、10、19,北投
11,福興里 4、7、 13、20,北投
12,福興里 3、6、 8、14、18,北投
13,福興里 9、11、 12、15-17,北投
14,榮光里 1-6,北投
15,榮光里 7-12,北投
16,榮光里 13-18,北投
17,榮光里 19-24,北投
18,榮華里 1-5、21,北投
19,榮華里 6-11,北投
20,榮華里 13-15、 20,北投
21,榮華里 12、16- 19,北投
22,裕民里 8、12、 13、22-24,北投
23,裕民里 1、9- 11、21,北投
24,裕民里 2、3、 5、7、16、17,北投
25,裕民里 4、6、 14、15、18-20,北投
26,振華里 1-8,北投
27,振華里 9-15,北投
28,振華里 16-21,北投
29,振華里 22-27,北投
30,永和里 1-5,北投
31,永和里 6-9,北投
32,永和里 10、11、 14、17-19、24,北投
33,永和里 20-23,北投
34,永和里 12、13、 15、16,北投
35,永欣里 2-7、13,北投
36,永欣里 8-12、14,北投
37,永欣里 1、15-18,北投
38,永欣里 19-23,北投
39,永明里 8、10-12,北投
40,永明里 3-6、9,北投
41,永明里 1、2、7,北投
42,東華里 1-6,北投
43,東華里 7-12,北投
44,東華里 13-18,北投
45,吉利里 1-6,北投
46,吉利里 7-12,北投
47,吉利里 13-18,北投
48,吉利里 19-23,北投
49,吉慶里 1-6,北投
50,吉慶里 7-11、13,北投
51,吉慶里 12、14- 18,北投
52,尊賢里 1-6,北投
53,尊賢里 7-12,北投
54,尊賢里 13-20,北投
55,立賢里 1-5,北投
56,立賢里 6-11,北投
57,立賢里 12-16,北投
58,立農里 1-5,北投
59,立農里 6、7、 9、10,北投
60,立農里 8、11-14,北投
61,立農里 15-20,北投
62,立農里 21-25,北投
63,八仙里 1-4、13- 15,北投
64,八仙里 5、6、 10-12、18,北投
65,八仙里 7-9、 16、17,北投
66,洲美里 1-10,北投
67,奇岩里 1-4、7,北投
68,奇岩里 5、6、 8、9、13,北投
